,Item Name,What kind of item is it?,Total number of ingredients,Name of first (main) ingredient,Serving Size,Calories per serving,Total Sodium,Total Carbohydrates,Total Fat,Total Protein,What allergens does it contain?,Does it contain GMO crops?,Where was it made?,"How Processed is it?
(see instructions for ranking)"
241,canned pumpkin,4,1.0,pumpkin,120 ,40 ,5 ,10 ,0 ,1 ,none,1.0,usa,2.0
242,frozen strawberries,2,1.0,whole strawberries,10 ,50,0,13,0,1,none,0.0,mexico,3.0
243,mixed frozen fruit,2,4.0,mangos,1 1,70 ,0 ,17 ,0 ,1 ,none,0.0,usa,1.5
244,strawberry icecream,2,5.0,cream,133,310,65,29,19,5,"milk, eggs",0.0,usa,2.0
245,granola bar,3,9.0,whole grain oats,2 ,190,140,29,7,3,"soy, peanuts, almond, pecans",1.0,usa,4.0
246,instant boba kit,2,8.0,water,65 ,110 ,5 ,28 ,0 ,0 ,none,1.0,taiwan,5.0
247,crab meat,4,3.0,lump white crab meat,120,80,670,,1,17,shellfish,0.0,indonesia,2.0
248,casa sanchez thin and light delgados tortilla chips,3,3.0,stone ground corn flour,10,130 ,105 ,19,6,2,corn,0.0,usa,4.0
249,morning round ,2,28.0,unbleached inriched flour.,60,160,190,32,1,5,"wheat,made in peanut factory",none,canada,4.0
250,100% whole grain wheat thins,3,10.0,whole grain wheat flour,31 ,140 ,200 ,22 ,5 ,2 ,wheat,1.0,usa,4.0
251,japanese barbecue sauce,2,11.0,soy sauce,19 ,35,520 ,8 ,0 ,0 ,"wheat, soy, sesame",0.0,usa,3.0
252,peanut butter & jelly sandwich,2,25.0,enriched unbleached flour,1 ,320 ,290 ,36 ,17 ,10 ,"peanut, wheat, hazelnut, milk",1.0,usa,5.0
253,tomato sauce,4,4.0,tomato puree,63,25,220 ,6 ,0 ,1 ,none,none,americaaa,none
254,popcorn,3,3.0,popcorn,3.75,150,75,15,10,2,none,0.0,usa,1.0
255,beans,4,2.0,organic cannellini beans,130 ,120,10 ,18 ,0.5,6 ,none,0.0,usa,2.0
256,salad mix,2,6.0,spinach,100 ,80 ,0,0,,13 ,none,0.0,usa,2.0
257,nutella,3,7.0,sugar,37 ,200 ,15 ,22 ,11 ,2 ,"tree nuts, milk, soy",0.0,canada,4.0
258,coconut milk,4,5.0,coconut,1/3,150,20,5,14,1,tree nut(coconut),0.0,thailand,3.0
259,spinach egg white fritata,2,16.0,vegetable blend,57,70,190,5,4,5,"egg, milk",0.0,us,3.0
260,won ton wrappers,2,7.0,enriched wheat flour,23 ,70 ,55 ,13 ,0 ,2 ,"wheat, eggs",0.0,usa,none
261,coffee creamer,2,11.0,water,15 ,35 ,5 ,5 ,1.5,0 ,milk derivative,1.0,usa or switzerland,3.0
262,california pizza kitchen - sicilian recipe,2,26.0,enriched wheat flour,147 ,350 ,980 ,31 ,17 ,18 ,"wheat, milk",1.0,usa,5.0
263,milk chocolate bar,3,6.0,sugar,50,270,30 ,29,16,3,"milk, soy",none,belgium,5.0
264,soybean paste stew base,2,33.0,soybean paste,1 1,40,970,,1.5,3,"soybean, wheat, fish (anchovy)",1.0,china,4.0
265,gelato,2,16.0,milk,131,290,65,37,14,5,"milk, cream, milk fat",0.0,usa,3.0
266,tortilla chips,3,6.0,corn masa flour,30 ,150 ,210 ,19 ,8 ,2 ,soy,1.0,usa,2.0
267,potato chips,3,3.0,potatoes,1,130,125,18,6,2,none,0.0,"ma, usa",4.0
268,mini chocolate chip cookies,3,9.0,unbleached enriched flour,57,270,240 ,37,13,3,"milk, egg, soy, wheat",none,usa,4.0
269,milk (lactose free),2,5.0,milk,240,130,120,13,5,8,milk,0.0,usa,1.0
270,ritz crackers,3,10.0,unbleached enriched flour,5 ,80,130,10,4.5,,"wheat, soy",1.0,mexico,4.0
271,pinto beans,4,5.0,pinto beans,0.50,110,420,20,0,7,none,0.0,usa,2.0
272,san pellegrino sparkling natural mineral water,1,1.0,carbonated mineral water,8 ,0 ,10 ,0 ,0 ,0 ,none,0.0,italy,1.0
273,cheez it,3,3.0,enriched wheat flour,1 ,210,320 ,24 ,11 ,4 ,"wheat, milk, soy",1.0,usa,4.0
274,chips,3,3.0,potato,28 ,140,100 ,17 ,7,2,none,0.0,usa,2.0
275,toast and peanut butter sandwich crackers,3,22.0,peanut butter,39,190 ,300,24,9,3,"wheat, soy, peanut, milk",1.0,usa,3.0
276,steamed pork & ginger soup dumplings,2,18.0,pork filling,170 ,270 ,550 ,30 ,11 ,14 ,"soy, sesame, wheat",0.0,usa,5.0
277,tamari,1,4.0,water,15 ,15 ,1 ,1 ,0 ,2 ,soy,0.0,usa,2.0
278,oats and honey granola,3,11.0,organic rolled oats,65 ,290,95 ,46 ,9 ,6 ,"tree nuts, wheat, soy, seasame",0.0,usa,1.0
279,kettle brand sea salt and vinegar chips,3,5.0,potatoes,1 ,140 ,180 ,15 ,9 ,2 ,none,0.0,usa,2.0
280,organic pinto beans,4,3.0,organic pinto beans,125 ,100 ,130 ,19 ,0 ,7 ,none,0.0,usa,2.0
281,lays classic potato chips,3,3.0,potatoes,1 ,240,210,23,15,3,none,0.0,usa,4.0
282,heinz ketchup,2,8.0,tomato concentrate,17,20,180,5,0,0,none,none,usa,3.0
283,seaweed,3,5.0,seaweed,3.4,29 ,40 ,0,1.5,1,sesame,0.0,korea,1.0
284,breaded chicken strips,2,16.0,chicken,112,120,380,4,5,21,"milk, egg",0.0,unknown but distributed in us,4.0
285,protein bar,3,10.0,peanut butter,71 ,340 ,50 ,27 ,19 ,17 ,"peanuts, milk, egg, sesame",0.0,usa,4.0
286,sweet rice balls,2,3.0,sweet rice,99 ,250 ,5 ,51 ,3 ,3 ,none,0.0,usa,2.0
287,salad dressing,2,14.0,rice vinegar,28 ,35 ,350 ,5 ,1.5,1 ,"soy, sesame",0.0,usa,3.0
288,apple sauce,1,3.0,organic apple,90 ,70 ,0 ,16 ,0 ,0 ,none,0.0,usa,2.0
289,progresso chicken noodle soup,4,none,chicken broth,1 ,100 ,660 ,13 ,2.5,7 ,"egg, soy, wheat ingredients",0.0,usa,3.0
290,raisins,4,1.0,california organic raisins,1/4,120,10,31,0,1,none,0.0,usa,1.0
291,mixed crackers,3,23.0,glutinous rice flour,30 ,130 ,150 ,23 ,3 ,3 ,"soybean, wheat, sesame seeds",1.0,thailand,4.0
292,olives,4,4.0,olives,3 ,15,120,1,1.5,0,none,0.0,usa,2.0
293,dried mango,4,1.0,mango,40 ,130,0 ,30 ,0 ,2 ,none,0.0,mexico/peru,0.0
294,supplant dark chocolate,3,6.0,chocolate liquor,30 ,150 ,0 ,14 ,13 ,2 ,"made in proximity with peanuts, tree nuts, milk, soy",0.0,usa,0.0
295,granola,3,7.0,organic oats,1 ,140,0 ,13 ,9 ,4 ,"nuts, wheat",0.0,usa,4.0
296,dried peach,4,2.0,peaches,30,114,2,25,0,2,none,0.0,usa,2.0
297,water,1,1.0,water,500 ,0 ,0 ,0,0,0,none,0.0,usa,0.0
298,sliced pepper jack cheese,2,6.0,pasterized cultured milk,28 ,110,180 ,0.5,9 ,6 ,milk,0.0,usa,2.0
299,gatorade,1,12.0,water,,60,490 ,14,0,0,none,0.0,usa,2.0
300,dark chocolate raisins,4,8.0,dark chocolate,30,120,10 ,20 ,6 ,1 ,"milk, soy",0.0,usa,4.0
301,chobani zero sugar - peaches & cream,2,8.0,nonfat greek yogurt,207 ,50 ,70 ,6 ,0 ,10 ,milk,0.0,usa,3.0
302,blueberry yogurt,2,12.0,grade a pasteurized whole milk,113 ,140 ,60 ,17 ,6 ,5 ,dairy,1.0,usa,2.0
303,dried pasta,4,9.0,wheat,56 ,200 ,15 ,41 ,1 ,8 ,wheat,0.0,usa,4.0
304,smoothie pack,2,4.0,mango,40,110 ,0,0,3,5,none,0.0,usa,3.0
305,taiwanese beef noodle soup (frozen),2,16.0,beef shank,319 ,360,1820 ,33 ,4 ,43 ,"wheat, soy",none,usa,5.0
306,pog juice,1,9.0,water,340 ,150,15 ,38 ,0 ,0 ,juice,0.0,usa,1.0
307,pepperoni pizza,2,43.0,cheese,1 ,310,740 ,25 ,18 ,13 ,"milk, wheat, soy",none,italy or usa (doesn't specify),5.0
308,kirkland seaweed,3,4.0,organic seaweed,3.4,20,40 ,0 ,1.5,1 ,sesame,0.0,korea,none
309,soy milk,2,10.0,organic soybase,1 ,80 ,110 ,3 ,4 ,8 ,soy,0.0,usa,3.0
310,la croix,1,1.0,"carbonated water, naturally essenced",1 ,0 ,0,0,0,0,none,0.0,usa,1.0
311,tonkotsu ramen,4,83.0,potato starch,101 ,450,1550 ,64 ,18 ,8 ,"wheat, sesame, soy, anchovy, milk, tuna",1.0,usa,5.0
312,popcorn,3,3.0,popcorn,3 3,150,75,15,10,2,none,0.0,usa,4.0
313,gatorade,1,12.0,citric acid,12,0,160,,0,0,none,1.0,usa,3.0
314,van leeuwen honeycomb ice cream,2,9.0,cream,108,290,350,81,43,11,"eggs, milk, tree nuts (coconut)",0.0,"brooklyn, ny",none
315,lays chips,3,3.0,potatoes,28,160,170,15,10,2,none,0.0,usa,5.0
316,milk,2,2.0,organic milk,240,150,105 ,12 ,8 ,8 ,milk,0.0,usa,1.0
317,pumpkin seeds,3,1.0,pumpkin seeds in shell,30,170,10,,15,7,none,1.0,russia,1.0
318,coconut milk,4,4.0,coconut extract,80 ,150 ,26 ,2 ,15 ,,none,0.0,thailand,2.0
319,halo top cookie dough ice cream,2,26.0,ultrafiltered skim milk,2/3,12,105 ,25 ,3 ,6 ,"milk, soy, wheat",1.0,none,2.5
320,raw shrimp,2,2.0,raw shrimp,113 ,80,220 ,0,0.5,19,shrimp,0.0,usa,1.0
321,cochon volant bbq sauce,2,21.0,distilled vinegar,39 ,50 ,125 ,10 ,1 ,1 ,none,0.0,usa,2.0
322,cheese crackers,3,18.0,flour,28 ,140 ,260 ,17 ,7 ,3 ,"milk, wheat, soy",0.0,usa,4.0
323,chi sparkling water (lychee fizzy),1,8.0,carbonated water,1 ,0,15 ,5 ,0 ,0 ,none,0.0,china,3.0
324,ice cream,2,6.0,pasteurized organic cream,118,270,25,28,16,4,milk,0.0,usa,3.0
325,daisy brand sour cream,2,1.0,cultured cream,30 ,60,15 ,1,5,1,milk,0.0,usa,2.0
326,sardines,4,3.0,sardines,87 ,200 ,300 ,0 ,14 ,18 ,none,0.0,usa,2.0
327,apricot preserve,4,4.0,organic apricots,20,50,0,13,0,0,none,0.0,canada,2.0
328,ice cream,2,29.0,cream,2/3,380,110,36,24,6,"milk, eggs, soy, wheat",1.0,usa,3.0
329,makhana roasted fox nuts,3,15.0,fox nuts,30 ,160,220 ,19 ,8 ,3 ,none,0.0,india,3.0
330,canned yellowfin tuna,4,3.0,yellowfin tuna,113 ,230,380 ,0 ,2.5,29 ,fish,0.0,usa,3.0
331,golden oolong tea,1,3.0,purified water,315 ,0 ,35 ,0 ,0 ,0 ,none,none,taiwan,2.0
332,freezer burrito,2,36.0,water (or like real ingredient enriched wheat flour),142 ,220,440 ,25 ,10 ,12 ,"wheat, soy, coconut",0.0,usa,5.0
333,ice cream,2,5.0,cream,130 ,330 ,180 ,73 ,55 ,16 ,"milk, egg ingredients",0.0,france,3.0
334,chocolate peanut butter ice cream,2,12.0,cream,95 ,250 ,100 ,23 ,16 ,5 ,"egg, milk, peanut",0.0,usa,3.0
335,milk,2,2.0,organic grade a milk,240 ,160,130 ,13 ,9 ,9 ,none,0.0,usa,1.0
336,tortilla chips,3,4.0,organic stone ground white corn,28,140,85,16,8,1,none,0.0,usa,4.0
337,cannellini beans,4,3.0,organic prepared cannellini beans,130 ,100,110 ,19 ,0,6,none,0.0,usa,2.0
338,buttermilk brread,2,20.0,enriched wheat flour,38 ,100,150 ,19,0.5,3,"wheat,soy,milk",1.0,usa,1.0
339,kewpie mayonaise,2,11.0,soybean oil,15,110,105,0,11,0,eggs,1.0,usa,2.0
340,simply lemonade,1,4.0,water,8 ,120 ,15 ,30 ,0 ,0,non?,none,usa,1.0
341,apple,2,1.0,apple,182 ,95 ,2 ,25 ,0.3,0.5,none,0.0,usa,0.0
342,ketchup,2,6.0,organic tomato purée,17 ,20 ,160 ,4 ,0 ,0 ,none,0.0,usa,3.0
343,ben & jerry's phish food ice cream,2,19.0,cream,143 ,390 ,105 ,52 ,18 ,5 ,"eggs, milk, soy",0.0,usa,4.0
344,whole milk yogurt,2,3.0,pastuerized organic whole milk,17,120,85 ,10 ,4.5,9 ,none,0.0,usa,none
345,chocolate chip cookie dough,2,7.0,enriched flour bleached,38,170,135 ,24,8,1,"wheat,egg,soy; may contain peaanut, macadaamia and milk ingredients",1.0,usa,4.0
346,cholula,2,10.0,water,1,0,110,0,0,0,none,1.0,mexico,3.0
347,takis (fuego),3,20.0,corn flour,28 ,140 ,420 ,16 ,8 ,2 ,"soy, milk, egg, wheat, peanuts",1.0,mexico,5.0
348,salt and vinegar chip,3,5.0,potatos,28,140,180,15,9,2,none,0.0,usa,4.0
349,vanilla ice cream,2,11.0,milk,89 ,200 ,40 ,21 ,12 ,3 ,"milk, soy",0.0,usa,2.0
350,chobani yogurt,2,10.0,cultured reduced fat milk,150 ,120 ,55 ,10 ,3 ,12 ,milk,0.0,usa,3.9
351,canned pink salmon,4,2.0,pink salmon,85 ,80 ,240 ,0 ,1.5,17 ,none,0.0,usa,1.0
352,whole milk,1,2.0,organic milk,1 ,160,125,12,9,8,none,0.0,usa,1.0
353,frozen pizza dough,2,none,flour blend,57,170,360,30,4,1,wheat,0.0,usa,3.0
354,dried spaghetti,4,1.0,organic durum wheat semolina,56 ,210 ,0 ,43 ,1 ,6 ,none,0.0,italy,2.0
355,graham crackers,3,12.0,enriched wheat flour,31 ,130 ,120 ,24 ,3.5,2 ,"soy, wheat",1.0,canada,4.0
356,popsicles,2,16.0,water,148,110,0 ,28 ,0 ,0 ,none,0.0,italy,5.0
357,instant rice,4,5.0,water (or real ingredient is jasmine rice),125 ,220,200 ,43 ,2.5,4 ,none?,0.0,usa,2.0
358,thin-sliced organic bread,2,36.0,organic whole weat,1 ,60,105,14,1,3,wheat,0.0,usa,3.0
359,sriracha sauce,2,9.0,chili,1 ,0,70 ,,0,0,none,0.0,usa,none
360,justin's honey peanut butter,4,6.0,dry roasted peanuts,32,210 ,90,6,17,7,peanuts,0.0,usa,2.0
361,organic unsalted butter,2,2.0,pasteurized organic sweet cream (milk),14,100 ,0 ,0 ,11 ,0 ,milk,0.0,usa,1.0
362,sockeye salmon,2,1.0,sockeye salmon,168,220,85,0,8,38,none,0.0,usa,1.0
363,lychee coconut jelly,3,10.0,water,100,100,71 ,25 ,0 ,0 ,none,0.0,taiwan,5.0
364,cauliflower puffs,3,17.0,corn meal,28,140,180 ,16 ,7 ,2 ,milk,0.0,usa,4.0
365,dried mango,4,6.0,mango,500,372,390,438,6.5,6.5,mango,0.0,china,4.0
366,pocky,3,14.0,wheat flour,15 ,150,55,20,6,3,"wheat, milk, soy",1.0,japan,4.0
367,fire grilled pork jerky,3,12.0,pork,28 ,90 ,290 ,10 ,2 ,7 ,"soy, sesame",0.0,usa,2.0
368,spicy black beans,4,13.0,organic prepared black beans,130,120,270,21,1,7,none,0.0,us,2.0
369,annie's canned pasta(basically spaghetti o's,4,11.0,water,242 ,130 ,660 ,28 ,0.5,4 ,"wheat, milk",0.0,usa,2.0
370,dried squid,4,2.0,squid,55,150,520,,1.5,34,squid,0.0,vietnam,1.0
371,sparkling strawberry juice,1,5.0,strawberry juice,1 ,60,0,16,0,0,none,0.0,vietnam,3.0
372,tru fru (chocolate covered strawberries),2,6.0,strawberries,1 ,90 ,15 ,10 ,5 ,1 ,milk and soy,0.0,none,none
373,frozen mac n cheese,2,27.0,enriched penne reggate,20 ,460,1620 ,102,60,53,"milk, wheat",1.0,new york,4.0
374,schär gluten free bread,2,17.0,"sourdough (rice flour, water)",57 ,130,180 ,28 ,2 ,2 ,sesame,0.0,usa,4.0
375,diet pepsi,1,11.0,carbonated water,12 ,0 ,35 ,0 ,0 ,0 ,none,0.0,usa,3.0
376,marinara,2,8.0,italian whole peeled tomotatoes,1.5,100,2100 ,30,36,10,none,0.0,new jersey,1.0
377,dried apricots,4,1.0,organic dried apricots ,40 ,130 ,0 ,31 ,0 ,1 ,none,0.0,turkey,1.0
378,alec's triple chocolate blackout cookie ice ream,2,32.0,cream,122 ,310,330 ,76 ,48 ,11 ,"milk, egg, coconut",0.0,usa,3.0
379,none,2,4.0,organic reduced fat milk,240,140,150,15,5,10,milk,0.0,california,0.0
380,spam,4,9.0,pork with ham,56,180,570,1,16,7,none,0.0,usa,4.0
381,whole milk,1,2.0,organic milk,240 ,160 ,130 ,13 ,9 ,9 ,milk,0.0,usa,none
382,pancake mix,4,9.0,flour,1/3,150 ,0 ,20 ,2 ,3 ,"milk, wheat, eggs, soy, tree nuts",1.0,usa,none
383,roasted sunflower seeds (caramel flavor),3,6.0,sunflower seeds,30 ,190 ,220 ,6 ,15 ,7 ,sunflower seeds,none,thailand,3.0
384,potato chips (vinegar),3,5.0,potatoes,1 ,140,180 ,15 ,9 ,2 ,nut oil,0.0,usa,4.0
385,cheese ravioli,2,19.0,organic ricotta cheese,1 ,260,510,31,11,11,"egg, milk, wheat",0.0,usa,3.0
386,oragnic whole milk,2,1.0,pasteurized oragnic milk,240 ,160,75 ,11 ,9 ,9 ,milk,0.0,usa,0.0
387,maria's canned artichoke hearts,4,5.0,artichoke hearts,40,10,150,2,0,,none,1.0,peru,3.0
388,raspberry lemonade,1,5.0,filtered water,240 ,110 ,15 ,27 ,0 ,0 ,none,0.0,usa,1.0
389,miss vickies chips,3,3.0,potatoes,38.9,210,125 ,23 ,12 ,3 ,none,0.0,usa,1.0
390,vitamin water (zero sugar),1,16.0,reverse osmosis water,591 ,0 ,0 ,0 ,0 ,0 ,none,1.0,georgia,3.0
391,pretzel crackers,3,6.0,enriched wheat flour,28,110,270,24,0,2,wheat,1.0,usa,1.0
392,maple syrup,2,1.0,maple syrup,30 ,110,0,27,0,0,none,0.0,canada,0.0
393,chi sparkling water,1,9.0,carbonated water,330,0,15,5,0,0,none,0.0,china,3.0
394,spam,4,6.0,pork with ham,56,180,770,1,16,7,none,0.0,"austin, mn",none
395,ice cream,2,10.0,pasteurized organic cream and organic nonfat milk,120,330,30,28,23,4,"milk, soy",0.0,usa,2.0
396, yogurt,2,1.0,yogurt,125,140,60,11,4.5,13,yogurt,0.0,usa,1.0
397,taro boba ice cream,2,14.0,taro cube paste brix add,80 ,143 ,31 ,24 ,5 ,1 ,"milk, egg, soybean, gluten-containing grain products",1.0,taiwan,4.0
398,corn,4,2.0,corn,125 ,60 ,10 ,0,1,1,none,0.0,china,2.0
399,milk,1,4.0,organic milk,250 ,140 ,140 ,13 ,5 ,10 ,none,0.0,california,1.5
400,nature valley oats 'n honey granola bars,3,13.0,whole grain oats,42,190 ,140 ,29 ,7 ,3 ,"peanuts, almonds, and pecan",1.0,usa,4.0
401,kirkland shredded mexican-style blend cheese,2,21.0,monterey jack cheese,28 ,110 ,170 ,1 ,8 ,6 ,milk,0.0,usa,5.0
402,seaweed,3,5.0,organic seaweed,1/5,20 ,40 ,0 ,1.5,1 ,sesame,0.0,korea,1.0
403,spindrift,1,3.0,carbonated water,355 ,5,0 ,1 ,0 ,0 ,none,0.0,usa,1.0
404,hint sparkling water,1,2.0,purified water,474 ,0 ,0 ,0 ,0 ,0 ,none,0.0,usa,1.0
405,spam 25% less sodium,4,6.0,pork with ham mechanically,56,180 ,570,1,16,7,pork/chicken,0.0,usa,4.0
406,ground beef,2,1.0,beef,112 ,150 ,65 ,0,4.5,24 ,none,0.0,usa,2.0
407,gogo squirts,3,4.0,apple,90,70,0,16,0,0,apple,0.0,usa,2.0
408,dried fruit,3,3.0,dried pears,40 ,,0 ,33 ,0 ,1 ,none,0.0,"usa, peru",1.5
409,none,3,10.0,unbleached enriched flour,16,80,130,10,4.5,,"wheat, soy.",1.0,mexico,4.0
410,trü frü frozen chocolate strawberries,2,3.0,strawberries,28,90 ,15,10,5,1,"milk, soy, tree nuts, peanuts",0.0,usa,2.0
411,gatorade fruit punch + berry,1,13.0,water,360,80,160,22,0,0,none,none,unknown but distributed in us,5.0
412,oven roasted turkey breast,2,6.0,organic turkey breast,55 ,50 ,380 ,1 ,0 ,11 ,none,0.0,likely usa,3.0
