Item Name,What kind of item is it?,Total number of ingredients,Name of first (main) ingredient,Serving Size,Calories per serving,Total Sodium,Total Carbohydrates,Total Fat,Total Protein,What allergens does it contain?,Does it contain GMO crops?,Where was it made?,"How Processed is it?
(see instructions for ranking)"
Nature Valley Crunchy Granola Bars,Snack,10,Whole Grain Oats,42 g,190 Cal,140 mg,29 g,7 g,3 g,"soy, peanut, almond, pecan",Yes,U.S.A.,4
Kimchi(Napa),Fridge,15,Napa Cabbage,28 g,10 Cal,180 mg,2 g,0 g,>1 g,none,No,U.S.A.,2
Canned Corn,Canned/Dried,3,corn,125g,60,320mg,13g,1g,1g,none,No,USA,2
b&j ice cream,Freezer,17,Cream,141g,370,150mg,37g,22g,6g,"egg, milk, soy, wheat",yes,USA,4
Ice cream,Freezer,6,raspberries,2/3 cup 131g,150,0 mg,38g,0.5g,<1g,none,No,"NJ, USA",2
Cinnamon Apple Sauce,Snack,4,Organic Apple,90 g,70 Cal,0 mg,16 g,0 g,0 g,N/A,No,U.S.A.,1
dried mango,Canned/Dried,5,mango,35g,120,25mg,29g,0g,<1g,none,no,thailand,3
Belvita,Snack,16,whole grain blend,50g,230,220mg,35g,8g,4g,wheat and soy,I dont think so,USA,3-4
Dragon Fruit Smoothie Pack,Freezer,1,Organic Dragon Fruit Puree,100 g,65,4 mg,14 g,0 g,2 g,none,No,U.S.A.,1
nesquick,Drink,8,cacoa,13g,150cal,135mg,24g,2.5g,9g,milk and wheat,yes,switzerland,4
Red & Yellow Bell Pepper Crisps,Canned/Dried,3,Red Bell Peppers,40 g,90,410 mg,13 g,1.5 g,4 g,None,No,Turkey,1
Grass Jelly,Canned/Dried,3,Chinese Jelly Herb,110 g,8 Cal,205 mg,2 g,0 g,0 g,,No,Taiwan,2
La Croix (fizzy water),Drink,1,Water,354.88 g,0 cal,0 mg,0 g,0 g,0 g,none,no,U.S.A.,2
Less Sodium Soy Sauce,Fridge,6,Water,15mL,10,590mg,1g,0g,1g,None,No,Brewed in the USA,5
Roasted seaweed,Canned/Dried,14,organic seaweed,5g,30,40mg,1g,2g,1g,"soy, seaseme",YES,U.S.A,4
Green Tea with Pomelo Flavor,Drink,12,Water,12 fl oz.,120,30 mg,29 g,0 g,0 g,None,No,China,5
Greek Yogurt,Fridge,6,Organic pasteurized grade A nonfat milk,170,100,60mg,7g,0g,18g,milk,no,U.S.A.,1
soy sauce ,Fridge,4,soybeans,1 tbsp,15,850 mg,2 g,0 g,2 g,soy,maybe,JAPAN,2
San Marzano Tomatoes,Canned/Dried,2,Whole Peeled Tomatoes,130 g,45 Cal,50 mg,7 g,0 g,2 g,N/A,No,Italy,1
roasted seaweed,Canned/Dried,4,seaweed,1/5 pack,20,40 mg,0 g,1.5 g,1 g,sesame,no,KOREA,1
Sugar (Granulated),Canned/Dried,1,Sugar,8 g,30 Cal,0 mg,8 g,0 g,0 g,None,idk,U.S.A.,1
Kettle Jalapeno Chips,Snack,13,Potatoes,28 g,150,170 mg,15g,0g,2g,None,No,U.S.A.,1
,Drink,27,Water,330ml,160,230mg,9g,4.5g,25g,Milk,No,U.S.A.,5
Frozen Ravioli,Freezer,33,Wheat Flour,94 g,250 Cal,620 mg,31 g,10 g,9 g,"milk, egg, wheat, soy",Not Listed,U.S.A.,2
Paradise Green Dried Mango ,Canned/Dried,３,Mangoes,40 g,140,60 mg,33 g,0 g,< 1 g,none,No,Thailand,2
Parmesan Cheese,Fridge,3,Cultured Milk,28g,110,230 mg,1g,8g,9g,milk,No,U.S.A.,
Maple Syrup,Fridge,1,Organic Maple Syrup,30mL,110,0mg,27g,0g,0g,None,No,U.S.A and Canada,0
Dad's Old Fashioned Rood Beer,Drink,5,Carbonated Water,355 mL,170,45 mg,44 g,0 g,0 g,N/A,No,U.S.A.,4
Fruit Bar,Snack,9,Apple Puree Concentrate,18 g,60 Cal,0 mg,15 g,0 g,0 g,N/A,No,U.S.A.,2
Dino Nuggets,Freezer,17,Boneless Skinless Chicken ,76 g,180 Cal,260 mg,13 g,10 g,9 g,wheat,No,Canada,5
Canned Pumpkin,Canned/Dried,1,Pumpkin,120 g,40 Cal,5 mg,10 g,0 g,1 g,none,Yes,U.S.A.,2
Frozen Strawberries,Freezer,1,Whole Strawberries,10 pieces,50,0mg,13g,0g,1g,none,No,Mexico,3
Mixed Frozen Fruit,Freezer,4,Mangos,1 1/4 cups (144 g),70 Cal,0 mg,17 g,0 g,1 g,None,No,U.S.A.,1.5
Strawberry icecream,Freezer,5,Cream,133g,310,65mg,29g,19g,5g,"milk, eggs",NO,U.S.A,2
Granola bar,Snack,9,Whole grain oats,2 bars (1 package),190,140mg,29g,7g,3g,"Soy, peanuts, almond, pecans",Yes,U.S.A,4
Instant Boba Kit,Freezer,8,Water,65 g,110 Cal,5 mg,28 g,0 g,0 g,None,Yes,Taiwan,5
Crab Meat,Canned/Dried,3,Lump white crab meat,120g,80,670mg,<1g,1g,17g,Shellfish,No,Indonesia,2
Casa Sanchez Thin and Light Delgados Tortilla Chips,Snack,3,Stone Ground Corn Flour,10-11 chips/28g,130 Cal,105 mg,19g,6g,2g,Corn,No,U.S.A.,4
Morning Round ,Freezer,28,Unbleached Inriched flour.,60g,160,190mg,32g,1g,5g,"wheat,made in peanut factory",non-gmo,Canada,4
100% Whole Grain Wheat Thins,Snack,10,Whole Grain Wheat Flour,31 g,140 Cal,200 mg,22 g,5 g,2 g,Wheat,Yes,U.S.A.,4
Japanese Barbecue Sauce,Fridge,11,Soy Sauce,19 g,35,520 mg,8 g,0 g,0 g,"Wheat, Soy, Sesame",No,U.S.A.,3
Peanut Butter & Jelly Sandwich,Freezer,25,Enriched Unbleached Flour,1 sandwich,320 Cal,290 mg,36 g,17 g,10 g,"peanut, wheat, hazelnut, milk",Yes,U.S.A.,5
tomato sauce,Canned/Dried,4,tomato puree,63g,25,220 mg,6 g,0 g,1 g,none,nuh uh,AMERICAAA,1.5-2 ig?
popcorn,Snack,3,popcorn,3.75 cups,150,75mg,15g,10g,2g,none,No,U.S.A.,1
Beans,Canned/Dried,2,Organic Cannellini Beans,130 g,120,10 mg,18 g,0.5 g,6 g,N/A,No,U.S.A.,2
Salad Mix,Fridge,6,spinach,100 g,80 cal,0,0,o,13 g,none,no,USA,2
Nutella,Snack,7,Sugar,37 g,200 Cal,15 mg,22 g,11 g,2 g,"tree nuts, milk, soy",No,Canada,4
Coconut Milk,Canned/Dried,5,Coconut,1/3 cup,150,20mg,5g,14g,1g,tree nut(coconut),No,Thailand,3
Spinach Egg White Fritata,Freezer,16,Vegetable Blend,57g,70,190mg,5g,4g,5g,"Egg, milk",No,US,3
Won Ton Wrappers,Freezer,7,Enriched Wheat Flour,23 g,70 Cal,55 mg,13 g,0 g,2 g,"wheat, eggs",No,U.S.A.,
Coffee Creamer,Fridge,11,Water,15 ml,35 Cal,5 mg,5 g,1.5 g,0 g,Milk derivative,Yes,U.S.A. or Switzerland,3
California Pizza Kitchen - Sicilian Recipe,Freezer,26,Enriched Wheat Flour,147 g,350 Cal,980 mg,31 g,17 g,18 g,"wheat, milk",Yes,U.S.A.,5
Milk Chocolate Bar,Snack,6,Sugar,50g,270,30 mg,29g,16g,3g,"milk, soy",Can't find,Belgium,5
Soybean Paste Stew Base,Fridge,33,Soybean Paste,1 1/3 tbsp (24g),40,970mg,N/A,1.5g,3g,"Soybean, Wheat, Fish (Anchovy)",Yes,China,4
Gelato,Freezer,16,milk,131g,290,65mg,37g,14g,5g,"milk, cream, milk fat",no,USA,3
Tortilla Chips,Snack,6,Corn masa flour,30 g,150 Cal,210 mg,19 g,8 g,2 g,soy,Yes,U.S.A.,2
Potato Chips,Snack,3,Potatoes,1oz,130,125mg,18g,6g,2g,none,No,"MA, USA",4
Mini chocolate chip cookies,Snack,9,unbleached enriched flour,57g,270,240 mg,37g,13g,3g,"Milk, egg, soy, wheat",Yes?,USA,4
Milk (lactose free),Fridge,5,Milk,240mL,130,120mg,13g,5g,8g,Milk,No,USA,1
Ritz Crackers,Snack,10,Unbleached Enriched Flour,5 crackers,80,130mg,10g,4.5g,<1g,"wheat, soy",Yes,Mexico,4
Pinto beans,Canned/Dried,5,Pinto beans,0.50 cup,110,420mg,20g,0g,7g,none,No,U.S.A.,2
San Pellegrino Sparkling Natural Mineral Water,Drink,1,Carbonated Mineral Water,8 fl oz,0 Cal,10 mg,0 g,0 g,0 g,N/A - not specified on the nutrition facts,No,Italy,1
Cheez It,Snack,3,Enriched Wheat Flour,1 Pouch (42 g),210,320 mg,24 g,11 g,4 g,"wheat, milk, soy",Yes,U.S.A.,4
Chips,Snack,3,potato,28 g,140,100 mg,17 g,7g,2g,none,no,USA,2
Toast and Peanut Butter Sandwich Crackers,Snack,22,Peanut Butter,39g,190 Cal,300mg,24g,9g,3g,"wheat, soy, peanut, milk",Yes,U.S.A.,3
Steamed Pork & Ginger Soup Dumplings,Freezer,18,Pork Filling,170 g,270 Cal,550 mg,30 g,11 g,14 g,"soy, sesame, wheat",No,U.S.A.,5
Tamari,Drink,4,Water,15 mL,15 Cal,1 g,1 g,0 g,2 g,Soy,No,U.S.A.,2
Oats and Honey Granola,Snack,11,Organic Rolled Oats,65 g,290,95 mg,46 g,9 g,6 g,"tree nuts, wheat, soy, seasame",no,U.S.A.,1
kettle brand sea salt and vinegar chips,Snack,5,potatoes,1 oz,140 cal,180 mg,15 g,9 g,2 g,none,no,U.S.A.,2
Organic Pinto Beans,Canned/Dried,3,Organic Pinto Beans,125 g,100 Cal,130 mg,19 g,0 g,7 g,,No,U.S.A.,2
Lays Classic Potato Chips,Snack,3,Potatoes,1 Package,240,210mg,23g,15g,3g,None,No,USA,4
Heinz Ketchup,Fridge,8,Tomato Concentrate,17g,20,180mg,5g,0g,0g,none,n/a,U.S.A.,3
Seaweed,Snack,5,Seaweed,3.4g,29 cal,40 mg,0g,1.5g,1g,Sesame,No,Korea,1
Breaded Chicken Strips,Freezer,16,Chicken,112g,120,380mg,4g,5g,21g,"Milk, Egg",No,Unknown but distributed in us,4
Protein Bar,Snack,10,Peanut Butter,71 g,340 Cal,50 mg,27 g,19 g,17 g,"peanuts, milk, egg, sesame",No,U.S.A.,4
Sweet Rice Balls,Freezer,3,Sweet Rice,99 g,250 Cal,5 mg,51 g,3 g,3 g,N/A,No,U.S.A.,2
salad dressing,Fridge,14,rice vinegar,28 g,35 cal,350 mg,5 g,1.5 g,1 g,"soy, sesame",no,usa,3
Apple Sauce,Drink,3,Organic Apple,90 g,70 cal,0 mg,16 g,0 g,0 g,,No,U.S.A.,2
Progresso Chicken Noodle Soup,Canned/Dried,7 main (19 2% or less),Chicken Broth,1 cup (242 g),100 Cal,660 mg,13 g,2.5 g,7 g,"Egg, Soy, Wheat Ingredients",No,U.S.A.,3
Raisins,Canned/Dried,1,California organic raisins,1/4 cup,120,10mg,31g,0g,1g,None,No,USA,1
Mixed Crackers,Snack,23,Glutinous rice flour,30 g,130 Cal,150 mg,23 g,3 g,3 g,"Soybean, wheat, sesame seeds",Yes,Thailand,4
Olives,Canned/Dried,4,Olives,3 olives,15,120mg,1g,1.5g,0g,None,No,U.S.A,2
Dried Mango,Canned/Dried,1,Mango,40 g,130,0 mg,30 g,0 g,2 g,n/a,no,Mexico/Peru,0
Supplant Dark Chocolate,Snack,6,Chocolate Liquor,30 g,150 Cal,0 mg,14 g,13 g,2 g,"made in proximity with peanuts, tree nuts, milk, soy",No,U.S.A.,0
Granola,Snack,7,Organic Oats,1 oz,140,0 g,13 g,9 g,4 g,"nuts, wheat",No,U.S.A.,4
dried peach,Canned/Dried,2,peaches,30g,114,2mg,25g,0,2g,none,no,usa,2
Water,Drink,1,Water,500 ml,0 Cal,0 mg,0g,0g,0g,None,No,USA,0
Sliced pepper jack cheese,Fridge,6,Pasterized cultured milk,28 g,110,180 mg,0.5 g,9 g,6 g,milk,No,U.S.A.,2
Gatorade,Drink,12,water, 1 bottle,60,490 mg,14g,0g,0g,none,no,USA,2
Dark Chocolate raisins,Canned/Dried,8,Dark Chocolate,30g ,120,10 mg,20 g ,6 g,1 g,"milk, soy",No,U.S.A.,4
Chobani Zero Sugar - Peaches & Cream,Fridge,8,Nonfat Greek Yogurt,207 mL,50 Cal,70 mg,6 g,0 g,10 g,milk,No,U.S.A.,3
Blueberry Yogurt,Fridge,12,Grade A Pasteurized Whole Milk,113 g,140 Cal,60 mg,17 g,6 g,5 g,dairy,Yes,U.S.A.,2
Dried Pasta,Canned/Dried,9,Wheat,56 g,200 cal,15 mg,41 g,1 g,8 g,Wheat,No,U.S.A.,4
Smoothie pack,Freezer,4,Mango,40g,110 cal,0,0,3g,5g,none,no,USA,3
Taiwanese Beef Noodle Soup (Frozen),Freezer,16,Beef Shank,319 g,360,1820 mg,33 g,4 g,43 g,"wheat, soy",Does not say,USA,5
POG Juice,Drink,9,Water,340 ml,150,15 mg,38 g,0 g,0 g,Juice,no,usa,1
Pepperoni Pizza,Freezer,43,Cheese,1 pizza (105 g),310,740 mg,25 g,18 g,13 g,"Milk, Wheat, Soy","No idea, but I think so",Italy or U.S.A (doesn't specify),5
Kirkland Seaweed,Snack,4,Organic Seaweed,3.4 g,20,40 mg,0 g,1.5 g,1 g,sesame,No,Korea,1-1
Soy Milk,Fridge,10,Organic soybase,1 cup,80 Cal,110 mg,3 g,4 g,8 g,soy,No,U.S.A.,3
La Croix,Drink,1,"Carbonated Water, Naturally Essenced",1 Can,0 Cal,0mg,0g,0g,0g,none,No,U.S.A.,1
Tonkotsu Ramen,Canned/Dried,83,Potato Starch,101 g (1 Bowl),450,1550 mg,64 g,18 g,8 g,"Wheat, sesame, soy, anchovy, milk, tuna",Yes,U.S.A.,5
Popcorn,Snack,3,Popcorn,3 3/4 cups,150,75mg,15g,10g,2g,None,No,U.S.A.,4
gatorade,Drink,12,citric acid,12floz,0,160mg,<1g,0g,0g,none,yes,U.S.A.,3
Van Leeuwen Honeycomb Ice cream,Freezer,9,Cream,108g,290,350mg,81g,43g,11g,"Eggs, milk, tree nuts (coconut)",No,"Brooklyn, NY",4?
lays chips,Snack,3,potatoes,28,160,170mg,15g,10g,2g,none,no,Usa,5
Milk,Fridge,2,Organic Milk,240ml,150,105 mg,12 g,8 g,8 g,milk,no,USA,1
Pumpkin Seeds,Snack,1,Pumpkin Seeds in Shell,30g,170,10mg,<1g,15g,7g,N/A,Yes,Russia,1
Coconut Milk,Canned/Dried,4,Coconut Extract,80 mL,150 Cal,26 mg,2 g,15 g, 2 g,,No,Thailand,2
halo top cookie dough ice cream,Freezer,26,ultrafiltered skim milk,2/3 cup,12o cal,105 mg,25 g,3 g,6 g,"milk, soy, wheat",yes,,2.5
Raw shrimp,Freezer,2,raw shrimp,113 g,80,220 mg,0g,0.5g,19g,shrimp,no,U.S.A.,1
Cochon Volant BBQ Sauce,Fridge,21,Distilled Vinegar,39 g,50 Cal,125 mg,10 g,1 g,1 g,N/A,No,U.S.A.,2
Cheese Crackers,Snack,18,Flour,28 g,140 cal,260 mg,17 g,7 g,3 g,"milk, wheat, soy",no,U.S.A.,4
Chi Sparkling Water (Lychee Fizzy),Drink,8,Carbonated Water,1 can (330 ml),0,15 mg,5 g,0 g,0 g,None,No,China,3
Ice cream,Freezer,6,Pasteurized organic cream,118g,270,25mg,28g,16g,4g,milk,No,U.S.A.,3
Daisy Brand Sour Cream,Fridge,1,Cultured Cream,30 g,60,15 mg,1g,5g,1g,Milk,No,U.S.A.,2
Sardines,Canned/Dried,3,Sardines,87 g,200 Cal,300 mg,0 g,14 g,18 g,none,No,U.S.A.,2
Apricot Preserve,Canned/Dried,4,Organic Apricots,20g,50,0mg,13g,0g,0g,N/A,No,Canada,2
Ice cream,Freezer,29,Cream,2/3 cup (137g),380,110mg,36g,24g,6g,"milk, eggs, soy, wheat",Yes,U.S.A,3
Makhana Roasted Fox Nuts,Snack,15,Fox Nuts,30 g,160,220 mg,19 g,8 g,3 g,,No,India,3
Canned Yellowfin Tuna,Canned/Dried,3,Yellowfin Tuna,113 g (1 can),230,380 mg,0 g,2.5 g,29 g,Fish,No,USA,3
Golden Oolong Tea,Drink,3,Purified Water,315 mL,0 Cal,35 mg,0 g,0 g,0 g,None,idk,Taiwan,2
Freezer Burrito,Freezer,36,Water (or like real ingredient Enriched Wheat Flour),142 g,220,440 mg,25 g,10 g,12 g,"wheat, soy, coconut",no,U.S.A.,5
ice cream,Freezer,5,cream,130 g,330 cal,180 mg,73 g,55 g,16 g,"milk, egg ingredients",no,france,3
Chocolate Peanut Butter Ice Cream,Freezer,12,Cream,95 g,250 Cal,100 mg,23 g,16 g,5 g,"egg, milk, peanut",No,U.S.A.,3
Milk,Fridge,2,Organic Grade A Milk,240 ml,160,130 mg,13 g,9 g,9 g,none,No,U.S.A.,1
tortilla chips,Snack,4,organic stone ground white corn,28g,140,85mg,16g,8g,1g,none,no,U.S.A.,4
Cannellini beans,Canned/Dried,3,organic prepared cannellini beans,130 g,100,110 mg,19 g,0g,6g,,no,U.S.A.,2
buttermilk brread,Fridge,20,Enriched Wheat Flour,38 g,100,150 mg,19g,0.5,3g,"wheat,soy,milk",Yes,U.S.A,1
Kewpie Mayonaise,Fridge,11,Soybean Oil,15g,110,105mg,0g,11g,0g,Eggs,Yes,USA,2
Simply Lemonade,Drink,4,Water,8 fl oz,120 Cal,15 mg,30 g,0 g,0,Non?,Non GMO,U.S.A.,1
Apple,Fridge,1,Apple,182 g,95 Cal,2 mg,25 g,0.3 g,0.5 g,None,No,USA,0
Ketchup,Fridge,6,Organic Tomato Purée,17 g,20 Cal,160 mg,4 g,0 g,0 g,N/A,No,U.S.A.,3
Ben & Jerry's Phish Food Ice Cream,Freezer,19,Cream,143 g,390 Cal,105 mg,52 g,18 g,5 g,"eggs, milk, soy",No,U.S.A.,4
Whole Milk Yogurt,Fridge,3,Pastuerized organic whole milk,17o g,120,85 mg,10 g,4.5 g,9 g,none,no,U.S.A.,
Chocolate Chip Cookie Dough,Freezer,7,Enriched Flour Bleached,38g,170,135 mg,24g,8g,1g,"Wheat,Egg,SOY; MAY CONTAIN PEAANUT, MACADAAMIA AND MILK INGREDIENTS",yes,U.S.A.,4
Cholula,Fridge,10,Water,1tsp,0,110mg,0g,0g,0g,none,Yes,Mexico,3
Takis (Fuego),Snack,20,Corn Flour,28 g,140 Cal,420 mg,16 g,8 g,2 g,"soy, milk, egg, wheat, peanuts",Yes,Mexico,5
Salt and Vinegar chip,Snack,5,Potatos,28g,140,180mg,15g,9g,2g,None,no,USA,4
Vanilla Ice Cream,Freezer,11,Milk,89 g,200 cal,40 mg,21 g,12 g,3 g,"milk, soy",no,U.S.A.,2
Chobani Yogurt,Fridge,10,Cultured Reduced Fat Milk,150 g,120 Cal,55 mg,10 g,3 g,12 g,milk,No,USA,3.9
Canned Pink Salmon,Canned/Dried,2,Pink Salmon,85 g,80 Cal,240 mg,0 g,1.5 g,17 g,None,No,U.S.A.,1
Whole Milk,Drink,2,Organic Milk,1 cup,160,125mg,12g,9g,8g,None,No,Usa,1
Frozen pizza dough,Freezer,15(none of which are proecessed),Flour blend,57g,170,360mg,30g,4g,1g,wheat,no,U.S.A.,3
Dried Spaghetti,Canned/Dried,1,Organic Durum Wheat Semolina,56 Gg,210 Cal,0 mg,43 g,1 g,6 g,N/A,No,Italy,2
Graham Crackers,Snack,12,Enriched Wheat Flour,31 g,130 cal,120 mg,24 g,3.5 g,2 g,"soy, wheat",yes,canada,4
Popsicles,Freezer,16,Water,148g,110,0 mg,28 mg,0 g,0 g,n/a,No,Italy,5
Instant Rice,Canned/Dried,5,Water (or real ingredient is Jasmine Rice),125 g,220,200 mg,43 g,2.5 g,4 g,none?,no,U.S.A.,2
Thin-Sliced Organic Bread,Fridge,36,Organic whole weat,1 slice,60,105mg,14g,1g,3g,Wheat,No,U.S.A.,3
Sriracha Sauce,Fridge,9,chili,1 tsp (5g),0,70 mg,less than 1g,0g,0g,,no,USA,
Justin's Honey Peanut Butter,Canned/Dried,6,Dry Roasted Peanuts,32g,210 Cal,90mg,6g,17g,7g,peanuts,No,U.S.A.,2
Organic Unsalted Butter,Fridge,2,Pasteurized Organic Sweet Cream (Milk),14g (1 tbsp),100 Cal,0 mg,0 g,11 g,0 g,Milk,No,U.S.A.,1
Sockeye Salmon,Freezer,1,Sockeye Salmon,168g,220,85mg,0g,8g,38g,None,No,U.S.A.,1
Lychee Coconut Jelly,Snack,10,Water,100g,100,71 mg,25 g,0 g,0 g,None,No,Taiwan,5
Cauliflower Puffs,Snack,17,Corn Meal,28g,140,180 mg,16 g,7 g,2 g,milk,No,USA,4
Dried Mango,Canned/Dried,6,Mango,500g,372,390mg,438g,6.5g,6.5g,mango,No,China,4
Pocky,Snack,14,wheat flour,15 pieces (30g),150,55mg,20g,6g,3g,"Wheat, milk, soy",Yes,Japan,4
Fire grilled pork jerky,Snack,12,Pork,28 g,90 cal,290 mg,10 g,2 g,7 g,"Soy, Sesame",No,U.S.A.,2
Spicy Black Beans,Canned/Dried,13,Organic Prepared Black Beans,130g,120,270mg,21g,1g,7g,N/A,No,US,2
Annie's Canned Pasta(basically spaghetti o's,Canned/Dried,11,Water,242 g,130 Cal,660 mg,28 g,0.5 g,4 g,"wheat, milk",No,U.S.A.,2
dried squid,Canned/Dried,2,squid,55g,150,520mg,<1g,1.5g,34g,squid,no,vietnam,1
Sparkling Strawberry Juice,Drink,5,Strawberry juice,1 can (250 mL),60,0mg,16g,0g,0g,None,No,Vietnam,3
Tru Fru (Chocolate Covered Strawberries),Freezer,6,Strawberries,1 oz,90 Cal,15 mg,10 g,5 g,1 g,Milk and soy,No,,
frozen mac n cheese,Freezer,27,Enriched penne reggate,20 oz,460,1620 mg,102g,60g,53g,"Milk, Wheat",yes,new york,4
Schär Gluten Free Bread,Freezer,17,"Sourdough (rice flour, water)",57 g,130,180 mg,28 g,2 g,2 g,Sesame,No,U.S.A.,4
Diet Pepsi,Drink,11,Carbonated Water,12 oz,0 cal,35 mg,0 g,0 g,0 g,,No,U.S.A.,3
Marinara,Fridge,8,Italian whole peeled tomotatoes,1.5 lbs,100,2100 mg,30g,36g,10g,none,no,New Jersey,1
Dried Apricots,Canned/Dried,1,Organic Dried Apricots ,40 g,130 Cal,0 mg,31 g,0 g,1 g,N/A,No,Turkey,1
Alec's triple chocolate blackout cookie ice ream,Freezer,32,Cream,122 g (2/3 cup),310,330 mg,76 g,48 g,11 g,"Milk, egg, coconut",No,U.S.A.,3
,Fridge,4,Organic Reduced Fat Milk,240ml,140,150mg,15g,5g,10g,Milk,No,California,0
Spam,Canned/Dried,9,Pork with ham,56g,180,570mg,1g,16g,7g,,No,U.S.A,4
Whole Milk,Drink,2,Organic Milk,240 mL,160 Cal,130 mg,13 g,9 g,9 g,milk,No,U.S.A.,
Pancake Mix,Canned/Dried,9,Flour,1/3 cup,150 Cal,0 mg,20 g,2 g,3 g,"Milk, Wheat, Eggs, Soy, Tree Nuts",Yes,U.S.A.,
Roasted Sunflower Seeds (Caramel Flavor),Snack,6,Sunflower seeds,30 g,190 Cal,220 mg,6 g,15 g,7 g,Sunflower Seeds,idk,Thailand,3
potato chips (vinegar),Snack,5,potatoes,1 oz,140,180 mg,15 g,9 g,2 g,nut oil,no,USA,4
Cheese Ravioli,Freezer,19,Organic ricotta cheese,1 cup,260,510mg,31g,11g,11g,"Egg, milk, wheat",No,U.S.A.,3
Oragnic Whole Milk,Fridge,1,Pasteurized Oragnic Milk,240 mL (1 cup),160,75 mg,11 g,9 g,9 g,Milk,No,U.S.A.,0
Maria's Canned Artichoke Hearts,Canned/Dried,5,Artichoke Hearts,40g,10,150mg,2g,0g,<1g,None,Yes,Peru,3
Raspberry Lemonade,Drink,5,Filtered Water,240 mL,110 Cal,15 mg,27 g,0 g,0 g,N/A,No,U.S.A.,1
Miss Vickies Chips,Snack,3,Potatoes,38.9 g,210,125 mg,23 g,12 g,3 g,n/a,no,usa,1
Vitamin Water (zero sugar),Drink,16,Reverse osmosis water,591 mL,0 Cal,0 mg,0 g,0 g,0 g,,Yes,Georgia,3
pretzel crackers,Snack,6,Enriched Wheat Flour,28g,110cal,270mg,24g,0g,2g,wheat,yes,USA,1
Maple Syrup,Fridge,1,maple syrup,30 mL,110,0mg,27g,0g,0g,n/a,No,Canada,0
Chi Sparkling Water,Drink,9,Carbonated Water,330mL,0,15mg,5g,0g,0g,none,no,China,3
Spam,Canned/Dried,6,Pork with Ham,56g,180,770mg,1g,16g,7g,None,No,"Austin, MN",4?
Ice Cream,Freezer,10,Pasteurized Organic Cream and Organic Nonfat Milk,120g,330,30mg,28g,23g,4g,"milk, soy",No,USA,2
 yogurt,Fridge,1,yogurt,125g,140cal,60mg,11g,4.5g,13g,yogurt,no,USA,1
Taro Boba Ice Cream,Freezer,14,Taro Cube Paste Brix Add,80 g,143 Cal,31 mg,24 g,5 g,1 g,"milk, egg, soybean, gluten-containing Grain Products",Yes,Taiwan,4
corn,Canned/Dried,2,corn,125 g,60 Cal,10 mg,0,1g,1g,,no,China,2
milk,Drink,4,organic milk,250 g,140 cal,140 mg,13 g,5 g,10 g,none,no,california,1.5
Nature Valley Oats 'N honey Granola Bars,Snack,13,Whole grain oats,42g,190 Cal,140 mg,29 g,7 g,3 g,"Peanuts, almonds, and Pecan",Yes,U.S.A.,4
Kirkland Shredded Mexican-Style Blend Cheese,Fridge,21,Monterey Jack Cheese,28 g,110 Cal,170 mg,1 g,8 g,6 g,Milk,No,U.S.A.,5
Seaweed,Snack,5,Organic Seaweed,1/5 pack (3.4 g),20 Cal,40 mg,0 g,1.5 g,1 g,Sesame,No,Korea,1
Spindrift,Drink,3,Carbonated Water,355 ml,5,0 mg,1 g,0 mg,0 mg,n/a,no,usa,1
Hint Sparkling Water,Drink,2,Purified water,474 mL,0 Cal,0 mg,0 g,0 g,0 g,N/A,No,U.S.A.,1
SPAM 25% less sodium,Canned/Dried,6,Pork with Ham mechanically,56g,180 Cal,570mg,1g,16g,7g,Pork/Chicken,No,U.S.A.,4
Ground Beef,Freezer,1,Beef,112 g,150 Cal,65 mg,0g,4.5 g,24 g,None,No,USA,2
gogo squirts,Snack,4,apple,90g,70cal,0mg,16g,0g,0g,apple,no,USA,2
dried fruit,Snack,3,dried pears,40 g, 140 cal,0 mg,33 g,0 g,1 g,none,no,"usa, peru",1.5
,Snack,10,Unbleached Enriched Flour,16g,80,130mg,10g,4.5g,<1g,"Wheat, Soy.",Yes,Mexico,4
Trü Frü Frozen Chocolate Strawberries,Freezer,3,Strawberries,28g,90 Cal,15mg,10g,5g,1g,"milk, soy, tree nuts, peanuts",No,U.S.A.,2
Gatorade fruit punch + berry,Drink,13,Water,360mL,80,160mg,22g,0g,0g,N/A,Likely,Unknown but distributed in us,5
Oven Roasted Turkey Breast,Fridge,6,Organic Turkey Breast,55 g,50 kcal,380 mg,1 g,0 g,11 g,none,No,Likely USA,3
